,MSE,RMSE,MAE,R²
White Noise,0.0003946413824777,0.019865582862775,0.0145589603492748,-0.0002794344285004
Random Walk,0.0004611789557319,0.0214750775489166,0.0161780563615105,-0.1689291734018516
AR,0.0003958015927863,0.019894762948734,0.0145764154884517,-0.0032201663506286
ARMA,0.0003958015927863,0.019894762948734,0.0145764154884517,-0.0032201663506286
ARIMA,26.226859140163494,5.121216568371572,5.117237359884609,-642.7469867018252
SARIMA,26.226859140163494,5.121216568371572,5.117237359884609,-642.7469867018252
LSTM,0.0016198524063628917,0.04024739005653524,0.03208468577887175,0.9555406150780945
GAN,,,,
